carrierName,createdAt,updatedAt
State Farm,3/9/19 10:03,3/9/19 10:03
Geico,3/9/19 10:03,3/9/19 10:03
Progressive,3/9/19 10:03,3/9/19 10:03
Allstate,3/9/19 10:03,3/9/19 10:03
USAA,3/9/19 10:03,3/9/19 10:03
Liberty Mutual,3/9/19 10:03,3/9/19 10:03
Farmers,3/9/19 10:03,3/9/19 10:03
Nationwide,3/9/19 10:03,3/9/19 10:03
Travelers,3/9/19 10:03,3/9/19 10:03
American Family,3/9/19 10:03,3/9/19 10:03
Mercury,3/9/19 10:03,3/9/19 10:03
Auto-Owners,3/9/19 10:03,3/9/19 10:03
MetLife,3/9/19 10:03,3/9/19 10:03
Hartford,3/9/19 10:03,3/9/19 10:03
AAA,3/9/19 10:03,3/9/19 10:03
Amica,3/9/19 10:03,3/9/19 10:03
Ameriprise,3/9/19 10:03,3/9/19 10:03
